student_id,school_id,grade,gender,socioeconomic_band,device_access,internet_quality,enrollment_date,baseline_engagement_score,dropout_probability,dropped_out,dropout_day,dropout_date
STU01098,SCH066,11,Female,Low,Shared phone,Good,2025-08-12,0.557,0.442,False,,
STU01099,SCH085,7,Female,Low,Laptop/Desktop,Good,2025-08-14,0.94,0.1,False,,
STU01100,SCH094,6,Male,Middle,Tablet,Good,2025-08-02,0.98,0.056,False,,
STU01101,SCH003,12,Female,Middle,Laptop/Desktop,Moderate,2025-08-06,0.888,0.112,True,28.0,2025-08-29
STU01102,SCH096,7,Female,Middle,Shared phone,Good,2025-08-19,0.624,0.312,False,,
STU01103,SCH087,6,Female,High,Own phone,Good,2025-08-01,0.98,0.073,False,,
STU01104,SCH099,10,Female,High,Tablet,Good,2025-08-21,0.98,0.081,False,,
STU01105,SCH089,8,Male,Middle,Shared phone,Good,2025-08-05,0.809,0.17,False,,
STU01106,SCH063,6,Female,High,Shared phone,Moderate,2025-08-17,0.769,0.208,False,,
STU01107,SCH015,9,Male,Low,Own phone,Good,2025-08-05,0.835,0.143,False,,
STU01108,SCH044,10,Male,Low,Shared phone,Moderate,2025-08-01,0.342,0.632,False,,
STU01109,SCH031,11,Male,Middle,Shared phone,Good,2025-08-13,0.754,0.237,False,,
STU01110,SCH051,7,Male,Middle,Own phone,Good,2025-08-16,0.98,0.057,False,,
STU01111,SCH006,9,Female,Middle,Laptop/Desktop,Good,2025-08-02,0.98,0.069,False,,
STU01112,SCH084,11,Male,Middle,Shared phone,Moderate,2025-08-06,0.682,0.264,False,,
STU01113,SCH028,7,Male,High,Own phone,Good,2025-08-07,0.98,0.064,False,,
STU01114,SCH028,7,Male,Low,Own phone,Good,2025-08-21,0.582,0.263,True,22.0,2025-08-23
STU01115,SCH023,6,Female,Middle,Own phone,Moderate,2025-08-07,0.768,0.123,False,,
STU01116,SCH045,9,Female,Middle,Own phone,Moderate,2025-08-02,0.848,0.084,False,,
STU01117,SCH015,7,Male,Middle,Shared phone,Good,2025-08-21,0.746,0.208,False,,
STU01118,SCH008,10,Female,Low,Shared phone,Good,2025-08-02,0.576,0.449,True,78.0,2025-10-18
STU01119,SCH043,12,Male,Low,Own phone,Moderate,2025-08-11,0.745,0.196,False,,
STU01120,SCH004,7,Female,Middle,Laptop/Desktop,Moderate,2025-08-04,0.76,0.147,False,,
STU01121,SCH047,10,Male,Middle,Own phone,Good,2025-08-06,0.98,0.074,False,,
STU01122,SCH080,7,Female,Middle,Own phone,Good,2025-08-16,0.891,0.084,False,,
STU01123,SCH020,6,Female,Low,Laptop/Desktop,Moderate,2025-08-03,0.745,0.181,False,,
STU01124,SCH043,10,Female,Middle,Tablet,Moderate,2025-08-14,0.98,0.073,False,,
STU01125,SCH089,8,Male,Middle,Tablet,Good,2025-08-12,0.98,0.064,False,,
STU01126,SCH092,12,Male,High,Own phone,Good,2025-08-16,0.916,0.096,False,,
STU01127,SCH094,9,Male,Middle,Laptop/Desktop,Moderate,2025-08-04,0.98,0.056,False,,
STU01128,SCH094,7,Male,Middle,Own phone,Good,2025-08-08,0.904,0.07,False,,
STU01129,SCH008,8,Male,Middle,Tablet,Moderate,2025-08-01,0.84,0.1,False,,
STU01130,SCH099,7,Male,Middle,Laptop/Desktop,Poor,2025-08-19,0.968,0.104,False,,
STU01131,SCH038,11,Male,Middle,Own phone,Good,2025-08-21,0.932,0.088,False,,
STU01132,SCH065,10,Male,Low,Laptop/Desktop,Poor,2025-08-10,0.592,0.385,False,,
STU01133,SCH047,8,Male,High,Laptop/Desktop,Poor,2025-08-12,0.98,0.092,False,,
STU01134,SCH006,9,Female,Middle,Own phone,Good,2025-08-03,0.973,0.071,False,,
STU01135,SCH075,10,Male,Middle,Shared phone,Moderate,2025-08-19,0.577,0.346,False,,
STU01136,SCH038,11,Female,Middle,Tablet,Moderate,2025-08-17,0.956,0.082,False,,
STU01137,SCH013,6,Female,Middle,Own phone,Moderate,2025-08-03,0.738,0.118,True,54.0,2025-09-24
STU01138,SCH018,6,Male,Low,Own phone,Moderate,2025-08-12,0.575,0.288,False,,
STU01139,SCH062,6,Male,Low,Shared phone,Moderate,2025-08-04,0.489,0.433,True,44.0,2025-09-14
STU01140,SCH002,8,Female,Low,Laptop/Desktop,Moderate,2025-08-13,0.949,0.092,False,,
STU01141,SCH069,9,Female,Low,Laptop/Desktop,Moderate,2025-08-14,0.815,0.143,False,,
STU01142,SCH074,6,Male,Low,Shared phone,Moderate,2025-08-09,0.273,0.639,False,,
STU01143,SCH058,8,Female,Middle,Tablet,Moderate,2025-08-10,0.713,0.131,True,53.0,2025-09-23
STU01144,SCH011,8,Female,Low,Laptop/Desktop,Good,2025-08-15,0.98,0.083,False,,
STU01145,SCH021,6,Male,High,Shared phone,Moderate,2025-08-04,0.695,0.218,False,,
STU01146,SCH079,12,Male,High,Shared phone,Good,2025-08-01,0.717,0.269,False,,
STU01147,SCH013,9,Male,Low,Own phone,Good,2025-08-09,0.74,0.163,False,,
STU01148,SCH046,8,Male,Middle,Laptop/Desktop,Moderate,2025-08-11,0.98,0.063,False,,
STU01149,SCH066,9,Female,Middle,Own phone,Poor,2025-08-07,0.768,0.168,False,,
STU01150,SCH090,8,Female,High,Shared phone,Moderate,2025-08-09,0.63,0.293,False,,
STU01151,SCH074,11,Male,Middle,Shared phone,Good,2025-08-03,0.799,0.219,True,50.0,2025-09-20
STU01152,SCH056,9,Male,Middle,Own phone,Poor,2025-08-16,0.53,0.326,False,,
STU01153,SCH010,9,Female,Low,Shared phone,Poor,2025-08-17,0.396,0.628,True,53.0,2025-09-23
STU01154,SCH056,12,Female,High,Tablet,Good,2025-08-06,0.98,0.083,False,,
STU01155,SCH032,11,Female,Low,Shared phone,Good,2025-08-14,0.544,0.45,False,,
STU01156,SCH020,11,Female,High,Laptop/Desktop,Poor,2025-08-05,0.82,0.19,False,,
STU01157,SCH033,7,Female,Low,Tablet,Moderate,2025-08-09,0.719,0.195,False,,
STU01158,SCH091,7,Female,Middle,Laptop/Desktop,Moderate,2025-08-07,0.98,0.06,False,,
STU01159,SCH060,10,Male,Middle,Shared phone,Good,2025-08-21,0.812,0.204,False,,
STU01160,SCH094,9,Female,Low,Own phone,Good,2025-08-11,0.925,0.094,False,,
STU01161,SCH060,10,Male,Low,Laptop/Desktop,Moderate,2025-08-14,0.747,0.21,False,,
STU01162,SCH009,10,Male,Low,Own phone,Good,2025-08-05,0.606,0.293,True,81.0,2025-10-21
STU01163,SCH073,8,Male,Middle,Shared phone,Moderate,2025-08-20,0.605,0.319,True,66.0,2025-10-06
STU01164,SCH051,7,Male,Middle,Shared phone,Good,2025-08-15,0.768,0.172,False,,
STU01165,SCH039,9,Female,Low,Own phone,Moderate,2025-08-03,0.639,0.26,False,,
STU01166,SCH093,7,Female,Middle,Own phone,Poor,2025-08-07,0.685,0.226,False,,
STU01167,SCH020,10,Male,Low,Laptop/Desktop,Moderate,2025-08-11,0.956,0.123,False,,
STU01168,SCH094,10,Female,Middle,Laptop/Desktop,Poor,2025-08-09,0.775,0.184,False,,
STU01169,SCH064,9,Female,Middle,Tablet,Good,2025-08-17,0.856,0.084,False,,
STU01170,SCH095,10,Female,High,Laptop/Desktop,Moderate,2025-08-12,0.919,0.085,False,,
STU01171,SCH041,9,Male,High,Tablet,Moderate,2025-08-12,0.891,0.084,False,,
STU01172,SCH082,10,Female,Low,Shared phone,Good,2025-08-08,0.725,0.315,False,,
STU01173,SCH047,7,Male,Low,Shared phone,Moderate,2025-08-18,0.446,0.473,False,,
STU01174,SCH064,10,Female,High,Laptop/Desktop,Moderate,2025-08-15,0.916,0.086,False,,
STU01175,SCH043,10,Male,Low,Own phone,Poor,2025-08-15,0.572,0.402,False,,
STU01176,SCH037,7,Female,Low,Laptop/Desktop,Good,2025-08-14,0.98,0.092,False,,
STU01177,SCH019,9,Male,Low,Shared phone,Moderate,2025-08-14,0.314,0.597,True,50.0,2025-09-20
STU01178,SCH064,11,Male,Middle,Shared phone,Good,2025-08-16,0.544,0.349,True,37.0,2025-09-07
STU01179,SCH032,7,Female,Middle,Tablet,Good,2025-08-05,0.935,0.069,False,,
STU01180,SCH025,10,Female,High,Laptop/Desktop,Moderate,2025-08-11,0.98,0.08,False,,
STU01181,SCH035,12,Male,Low,Laptop/Desktop,Poor,2025-08-03,0.578,0.424,True,38.0,2025-09-08
STU01182,SCH058,11,Male,Low,Shared phone,Moderate,2025-08-08,0.397,0.567,False,,
STU01183,SCH023,8,Female,Middle,Own phone,Poor,2025-08-07,0.694,0.22,False,,
STU01184,SCH012,9,Female,Middle,Tablet,Good,2025-08-05,0.967,0.073,False,,
STU01185,SCH060,12,Female,Low,Laptop/Desktop,Moderate,2025-08-12,0.731,0.219,False,,
STU01186,SCH070,9,Female,High,Shared phone,Moderate,2025-08-10,0.603,0.278,False,,
STU01187,SCH047,6,Female,Middle,Own phone,Moderate,2025-08-10,0.839,0.091,False,,
STU01188,SCH044,6,Female,Middle,Shared phone,Moderate,2025-08-19,0.868,0.149,False,,
STU01189,SCH044,11,Female,High,Tablet,Moderate,2025-08-08,0.89,0.105,False,,
STU01190,SCH079,8,Male,Middle,Shared phone,Good,2025-08-03,0.682,0.248,False,,
STU01191,SCH018,7,Male,Middle,Laptop/Desktop,Good,2025-08-17,0.98,0.07,False,,
STU01192,SCH004,8,Male,Middle,Shared phone,Good,2025-08-05,0.668,0.286,True,50.0,2025-09-20
STU01193,SCH089,10,Male,Middle,Tablet,Moderate,2025-08-21,0.957,0.084,False,,
STU01194,SCH021,9,Male,High,Tablet,Moderate,2025-08-14,0.98,0.061,False,,
STU01195,SCH054,11,Female,Middle,Shared phone,Good,2025-08-06,0.639,0.299,False,,
STU01196,SCH037,10,Male,Low,Shared phone,Moderate,2025-08-13,0.617,0.412,False,,
STU01197,SCH059,12,Female,High,Own phone,Moderate,2025-08-20,0.98,0.076,False,,
STU01198,SCH045,11,Male,High,Tablet,Poor,2025-08-20,0.767,0.19,False,,
STU01199,SCH034,7,Male,Middle,Tablet,Good,2025-08-09,0.98,0.066,False,,
STU01200,SCH062,10,Male,High,Own phone,Good,2025-08-01,0.98,0.072,False,,
STU01201,SCH054,6,Female,Middle,Shared phone,Moderate,2025-08-02,0.786,0.176,False,,
STU01202,SCH088,12,Male,Middle,Laptop/Desktop,Poor,2025-08-19,0.543,0.359,False,,
STU01203,SCH062,7,Female,Middle,Shared phone,Poor,2025-08-14,0.453,0.481,True,30.0,2025-08-31
STU01204,SCH004,10,Female,Low,Own phone,Moderate,2025-08-16,0.542,0.386,False,,
STU01205,SCH062,11,Female,Middle,Laptop/Desktop,Poor,2025-08-16,0.642,0.267,False,,
STU01206,SCH026,7,Female,Middle,Laptop/Desktop,Good,2025-08-17,0.98,0.062,False,,
STU01207,SCH010,11,Male,Low,Shared phone,Good,2025-08-11,0.733,0.311,True,42.0,2025-09-12
STU01208,SCH046,6,Female,Low,Shared phone,Good,2025-08-08,0.742,0.267,False,,
STU01209,SCH099,8,Female,Middle,Own phone,Good,2025-08-05,0.98,0.066,False,,
STU01210,SCH064,9,Non-binary,Middle,Own phone,Good,2025-08-07,0.887,0.077,False,,
STU01211,SCH011,8,Male,High,Tablet,Good,2025-08-16,0.98,0.058,False,,
STU01212,SCH016,9,Female,Low,Own phone,Moderate,2025-08-01,0.722,0.176,True,36.0,2025-09-06
STU01213,SCH012,12,Male,High,Shared phone,Good,2025-08-04,0.837,0.205,False,,
STU01214,SCH050,8,Male,Low,Own phone,Moderate,2025-08-17,0.81,0.146,True,35.0,2025-09-05
STU01215,SCH074,9,Female,Low,Tablet,Moderate,2025-08-14,0.694,0.21,True,64.0,2025-10-04
STU01216,SCH037,11,Male,Middle,Laptop/Desktop,Poor,2025-08-04,0.622,0.301,False,,
STU01217,SCH005,10,Male,Middle,Own phone,Moderate,2025-08-01,0.771,0.13,False,,
STU01218,SCH021,6,Female,Middle,Shared phone,Good,2025-08-05,0.794,0.169,True,31.0,2025-09-01
STU01219,SCH020,12,Female,Low,Own phone,Good,2025-08-03,0.856,0.162,False,,
STU01220,SCH095,6,Female,Low,Tablet,Moderate,2025-08-06,0.655,0.203,False,,
STU01221,SCH075,9,Male,Middle,Tablet,Moderate,2025-08-18,0.753,0.122,False,,
STU01222,SCH020,9,Female,Low,Laptop/Desktop,Good,2025-08-19,0.98,0.094,False,,
STU01223,SCH004,11,Female,Low,Laptop/Desktop,Good,2025-08-07,0.648,0.31,True,61.0,2025-10-01
STU01224,SCH073,7,Non-binary,Low,Own phone,Moderate,2025-08-07,0.542,0.326,False,,
STU01225,SCH064,7,Male,Low,Laptop/Desktop,Moderate,2025-08-18,0.98,0.083,False,,
STU01226,SCH063,10,Female,Middle,Shared phone,Moderate,2025-08-09,0.548,0.399,True,22.0,2025-08-23
STU01227,SCH049,7,Female,Low,Own phone,Good,2025-08-05,0.867,0.111,False,,
STU01228,SCH088,9,Female,Middle,Own phone,Poor,2025-08-16,0.766,0.18,False,,
STU01229,SCH058,10,Non-binary,Middle,Tablet,Good,2025-08-11,0.897,0.095,False,,
STU01230,SCH018,10,Female,Middle,Tablet,Poor,2025-08-19,0.489,0.418,False,,
STU01231,SCH064,7,Female,Middle,Own phone,Good,2025-08-19,0.98,0.058,False,,
STU01232,SCH026,8,Male,Middle,Laptop/Desktop,Moderate,2025-08-17,0.98,0.062,False,,
STU01233,SCH066,12,Female,High,Laptop/Desktop,Good,2025-08-21,0.98,0.075,False,,
STU01234,SCH081,8,Female,Low,Laptop/Desktop,Good,2025-08-12,0.89,0.108,False,,
STU01235,SCH035,6,Male,Middle,Own phone,Good,2025-08-12,0.941,0.074,False,,
STU01236,SCH083,7,Female,Low,Laptop/Desktop,Good,2025-08-01,0.904,0.115,False,,
STU01237,SCH092,8,Male,Middle,Laptop/Desktop,Poor,2025-08-04,0.847,0.145,False,,
STU01238,SCH098,12,Male,Middle,Tablet,Moderate,2025-08-04,0.98,0.072,False,,
STU01239,SCH030,8,Female,Low,Own phone,Moderate,2025-08-20,0.756,0.165,False,,
STU01240,SCH016,6,Male,Low,Laptop/Desktop,Good,2025-08-06,0.98,0.085,False,,
STU01241,SCH089,9,Male,Low,Tablet,Good,2025-08-14,0.928,0.106,False,,
STU01242,SCH095,6,Male,Low,Own phone,Moderate,2025-08-09,0.619,0.222,False,,
STU01243,SCH019,7,Male,Middle,Laptop/Desktop,Good,2025-08-17,0.98,0.065,False,,
STU01244,SCH088,12,Female,Low,Shared phone,Moderate,2025-08-08,0.381,0.601,False,,
STU01245,SCH089,10,Female,Middle,Tablet,Moderate,2025-08-20,0.943,0.087,False,,
STU01246,SCH046,6,Male,High,Own phone,Moderate,2025-08-11,0.98,0.063,False,,
STU01247,SCH090,8,Female,Low,Own phone,Good,2025-08-06,0.699,0.219,False,,
STU01248,SCH006,7,Female,Low,Own phone,Poor,2025-08-09,0.607,0.362,True,77.0,2025-10-17
STU01249,SCH059,6,Male,Middle,Own phone,Good,2025-08-08,0.81,0.103,False,,
STU01250,SCH005,9,Female,High,Own phone,Good,2025-08-16,0.98,0.058,False,,
STU01251,SCH086,9,Male,Middle,Shared phone,Moderate,2025-08-07,0.542,0.327,False,,
STU01252,SCH090,10,Male,Low,Shared phone,Moderate,2025-08-02,0.383,0.625,False,,
STU01253,SCH087,11,Male,High,Tablet,Good,2025-08-17,0.98,0.089,False,,
STU01254,SCH034,7,Female,Middle,Own phone,Good,2025-08-21,0.98,0.066,False,,
STU01255,SCH053,12,Female,Low,Shared phone,Moderate,2025-08-06,0.364,0.588,True,70.0,2025-10-10
STU01256,SCH064,9,Male,High,Shared phone,Moderate,2025-08-18,0.784,0.167,False,,
STU01257,SCH093,7,Female,High,Shared phone,Moderate,2025-08-01,0.777,0.192,True,50.0,2025-09-20
STU01258,SCH090,11,Male,Middle,Shared phone,Moderate,2025-08-08,0.319,0.583,True,53.0,2025-09-23
STU01259,SCH034,6,Male,Low,Laptop/Desktop,Moderate,2025-08-01,0.85,0.135,False,,
STU01260,SCH044,9,Female,Middle,Own phone,Good,2025-08-09,0.948,0.072,False,,
STU01261,SCH036,10,Female,Low,Own phone,Moderate,2025-08-13,0.857,0.155,False,,
STU01262,SCH063,7,Male,Middle,Own phone,Good,2025-08-21,0.797,0.122,False,,
STU01263,SCH022,11,Female,Low,Shared phone,Moderate,2025-08-18,0.549,0.471,False,,
STU01264,SCH021,7,Male,Middle,Tablet,Moderate,2025-08-20,0.784,0.108,False,,
STU01265,SCH064,11,Male,Middle,Laptop/Desktop,Good,2025-08-14,0.92,0.085,False,,
STU01266,SCH091,6,Female,High,Shared phone,Moderate,2025-08-09,0.629,0.255,False,,
STU01267,SCH006,7,Male,High,Shared phone,Poor,2025-08-20,0.613,0.398,True,39.0,2025-09-09
STU01268,SCH050,8,Female,Low,Tablet,Moderate,2025-08-02,0.755,0.17,False,,
STU01269,SCH083,11,Female,Low,Shared phone,Moderate,2025-08-18,0.447,0.549,True,38.0,2025-09-08
STU01270,SCH083,7,Male,Middle,Shared phone,Good,2025-08-21,0.852,0.154,False,,
STU01271,SCH059,11,Male,Low,Tablet,Good,2025-08-01,0.885,0.141,False,,
STU01272,SCH074,7,Male,Low,Own phone,Good,2025-08-14,0.766,0.174,False,,
STU01273,SCH023,9,Male,Middle,Shared phone,Good,2025-08-19,0.684,0.242,False,,
STU01274,SCH068,8,Male,Low,Laptop/Desktop,Moderate,2025-08-15,0.661,0.237,True,34.0,2025-09-04
STU01275,SCH024,6,Female,Low,Shared phone,Moderate,2025-08-21,0.661,0.357,True,55.0,2025-09-25
STU01276,SCH086,12,Female,Middle,Own phone,Moderate,2025-08-06,0.888,0.103,True,47.0,2025-09-17
STU01277,SCH094,8,Female,High,Tablet,Good,2025-08-14,0.98,0.056,False,,
STU01278,SCH020,10,Female,Middle,Own phone,Moderate,2025-08-18,0.723,0.168,False,,
STU01279,SCH095,9,Female,Low,Own phone,Poor,2025-08-02,0.434,0.45,True,58.0,2025-09-28
STU01280,SCH079,9,Male,Middle,Tablet,Good,2025-08-12,0.98,0.068,False,,
STU01281,SCH059,9,Female,High,Tablet,Moderate,2025-08-21,0.98,0.062,False,,
STU01282,SCH027,11,Male,Low,Laptop/Desktop,Moderate,2025-08-10,0.805,0.164,False,,
STU01283,SCH090,10,Male,Middle,Own phone,Moderate,2025-08-18,0.615,0.238,False,,
STU01284,SCH060,9,Non-binary,Middle,Own phone,Poor,2025-08-16,0.648,0.241,True,59.0,2025-09-29
STU01285,SCH060,10,Female,Middle,Tablet,Poor,2025-08-06,0.591,0.322,False,,
STU01286,SCH068,9,Male,Low,Shared phone,Moderate,2025-08-08,0.29,0.639,True,69.0,2025-10-09
STU01287,SCH091,8,Male,High,Tablet,Moderate,2025-08-11,0.98,0.06,False,,
STU01288,SCH053,10,Female,Low,Shared phone,Good,2025-08-10,0.602,0.4,False,,
STU01289,SCH018,8,Female,Low,Own phone,Moderate,2025-08-13,0.616,0.262,True,69.0,2025-10-09
STU01290,SCH037,10,Female,Low,Tablet,Good,2025-08-14,0.562,0.325,False,,
STU01291,SCH079,12,Male,Middle,Tablet,Good,2025-08-09,0.889,0.109,False,,
STU01292,SCH005,12,Male,Low,Shared phone,Good,2025-08-14,0.614,0.386,True,29.0,2025-08-30
STU01293,SCH083,11,Male,Middle,Own phone,Good,2025-08-14,0.755,0.152,False,,
STU01294,SCH096,9,Male,High,Laptop/Desktop,Moderate,2025-08-21,0.806,0.127,False,,
STU01295,SCH039,10,Female,Low,Laptop/Desktop,Poor,2025-08-18,0.562,0.47,True,25.0,2025-08-26
STU01296,SCH047,7,Female,Middle,Own phone,Poor,2025-08-12,0.806,0.15,False,,
STU01297,SCH079,9,Male,High,Shared phone,Poor,2025-08-04,0.464,0.512,True,33.0,2025-09-03
STU01298,SCH034,7,Male,Low,Own phone,Good,2025-08-07,0.819,0.147,False,,
STU01299,SCH009,6,Male,Middle,Own phone,Moderate,2025-08-07,0.824,0.102,False,,
STU01300,SCH038,12,Female,High,Shared phone,Poor,2025-08-07,0.316,0.654,True,52.0,2025-09-22
STU01301,SCH089,11,Female,Middle,Laptop/Desktop,Poor,2025-08-20,0.855,0.167,False,,
STU01302,SCH007,9,Female,Middle,Own phone,Good,2025-08-12,0.913,0.077,False,,
STU01303,SCH053,7,Female,High,Own phone,Moderate,2025-08-21,0.974,0.06,False,,
STU01304,SCH039,10,Female,Middle,Own phone,Poor,2025-08-03,0.599,0.35,True,81.0,2025-10-21
STU01305,SCH005,8,Male,Low,Shared phone,Good,2025-08-15,0.507,0.415,True,38.0,2025-09-08
STU01306,SCH079,11,Male,Low,Own phone,Good,2025-08-13,0.884,0.154,False,,
STU01307,SCH048,12,Female,Middle,Own phone,Moderate,2025-08-17,0.915,0.088,False,,
STU01308,SCH074,8,Female,Middle,Own phone,Moderate,2025-08-09,0.775,0.123,False,,
STU01309,SCH006,7,Female,Low,Tablet,Good,2025-08-11,0.927,0.114,False,,
STU01310,SCH069,7,Female,Low,Own phone,Moderate,2025-08-08,0.704,0.192,False,,
STU01311,SCH091,6,Male,High,Own phone,Good,2025-08-15,0.98,0.06,False,,
STU01312,SCH016,8,Female,Middle,Laptop/Desktop,Good,2025-08-05,0.98,0.06,True,64.0,2025-10-04
STU01313,SCH049,6,Male,Low,Own phone,Moderate,2025-08-14,0.791,0.138,False,,
STU01314,SCH087,6,Female,Low,Own phone,Good,2025-08-11,0.821,0.16,False,,
STU01315,SCH087,7,Female,Low,Laptop/Desktop,Good,2025-08-17,0.939,0.116,False,,
STU01316,SCH096,7,Non-binary,Low,Own phone,Poor,2025-08-01,0.567,0.421,False,,
STU01317,SCH064,10,Female,Middle,Own phone,Poor,2025-08-04,0.875,0.145,False,,
STU01318,SCH027,6,Female,Low,Laptop/Desktop,Good,2025-08-13,0.98,0.082,False,,
STU01319,SCH020,11,Male,High,Own phone,Poor,2025-08-08,0.729,0.239,False,,
STU01320,SCH066,7,Female,Low,Laptop/Desktop,Good,2025-08-06,0.867,0.12,False,,
STU01321,SCH056,6,Female,Low,Own phone,Moderate,2025-08-20,0.77,0.172,False,,
STU01322,SCH003,6,Female,High,Own phone,Moderate,2025-08-20,0.853,0.102,False,,
STU01323,SCH064,10,Female,Middle,Shared phone,Moderate,2025-08-02,0.98,0.117,True,64.0,2025-10-04
STU01324,SCH100,7,Male,Low,Shared phone,Good,2025-08-12,0.459,0.48,False,,
STU01325,SCH006,9,Female,Low,Own phone,Poor,2025-08-15,0.702,0.295,False,,
STU01326,SCH058,6,Male,Middle,Shared phone,Poor,2025-08-17,0.623,0.356,True,59.0,2025-09-29
STU01327,SCH050,12,Male,Low,Own phone,Moderate,2025-08-05,0.477,0.382,True,47.0,2025-09-17
STU01328,SCH079,6,Female,High,Own phone,Poor,2025-08-18,0.98,0.104,False,,
STU01329,SCH044,8,Female,Middle,Shared phone,Moderate,2025-08-14,0.52,0.348,False,,
STU01330,SCH025,11,Female,High,Own phone,Good,2025-08-19,0.951,0.088,False,,
STU01331,SCH047,7,Female,Middle,Tablet,Good,2025-08-15,0.966,0.063,False,,
STU01332,SCH019,7,Female,Middle,Own phone,Moderate,2025-08-19,0.818,0.104,False,,
STU01333,SCH022,11,Male,Middle,Tablet,Moderate,2025-08-01,0.856,0.116,False,,
STU01334,SCH098,7,Female,Middle,Shared phone,Good,2025-08-05,0.926,0.114,True,53.0,2025-09-23
STU01335,SCH014,6,Male,Middle,Shared phone,Good,2025-08-12,0.98,0.108,True,64.0,2025-10-04
STU01336,SCH079,8,Male,Middle,Laptop/Desktop,Good,2025-08-07,0.98,0.068,False,,
STU01337,SCH046,6,Male,Low,Laptop/Desktop,Moderate,2025-08-05,0.58,0.261,False,,
STU01338,SCH079,12,Female,Middle,Own phone,Poor,2025-08-15,0.679,0.275,False,,
STU01339,SCH078,10,Female,Low,Own phone,Poor,2025-08-21,0.381,0.582,False,,
STU01340,SCH069,9,Male,Middle,Laptop/Desktop,Moderate,2025-08-12,0.98,0.063,False,,
STU01341,SCH005,7,Female,Low,Own phone,Poor,2025-08-13,0.57,0.346,False,,
STU01342,SCH004,10,Male,Low,Shared phone,Good,2025-08-13,0.402,0.631,True,36.0,2025-09-06
STU01343,SCH026,10,Male,Low,Shared phone,Poor,2025-08-09,0.209,0.72,True,54.0,2025-09-24
STU01344,SCH092,6,Male,Low,Shared phone,Moderate,2025-08-15,0.631,0.351,True,75.0,2025-10-15
STU01345,SCH039,11,Female,Low,Laptop/Desktop,Good,2025-08-17,0.813,0.2,True,57.0,2025-09-27
STU01346,SCH025,9,Female,Low,Own phone,Good,2025-08-03,0.947,0.102,False,,
STU01347,SCH027,11,Female,Middle,Own phone,Moderate,2025-08-06,0.782,0.126,False,,
STU01348,SCH027,7,Male,Middle,Shared phone,Moderate,2025-08-04,0.84,0.143,False,,
STU01349,SCH016,6,Male,High,Shared phone,Good,2025-08-17,0.751,0.187,False,,
STU01350,SCH066,10,Male,Middle,Tablet,Good,2025-08-14,0.799,0.126,False,,
STU01351,SCH078,11,Male,Low,Laptop/Desktop,Moderate,2025-08-15,0.838,0.169,False,,
STU01352,SCH083,8,Male,Middle,Own phone,Moderate,2025-08-14,0.796,0.112,False,,
STU01353,SCH050,6,Male,Middle,Tablet,Good,2025-08-12,0.98,0.064,True,65.0,2025-10-05
STU01354,SCH018,11,Female,Middle,Own phone,Good,2025-08-18,0.722,0.177,False,,
STU01355,SCH069,7,Female,Middle,Own phone,Poor,2025-08-04,0.581,0.276,False,,
STU01356,SCH038,8,Male,Middle,Own phone,Moderate,2025-08-15,0.888,0.081,False,,
STU01357,SCH031,10,Male,Middle,Shared phone,Good,2025-08-18,0.767,0.229,False,,
STU01358,SCH004,6,Female,Low,Own phone,Good,2025-08-05,0.609,0.29,False,,
STU01359,SCH079,6,Male,Middle,Laptop/Desktop,Poor,2025-08-15,0.925,0.122,False,,
STU01360,SCH044,6,Female,Low,Shared phone,Good,2025-08-02,0.762,0.264,False,,
STU01361,SCH062,12,Female,High,Own phone,Moderate,2025-08-04,0.808,0.119,False,,
STU01362,SCH052,8,Male,High,Laptop/Desktop,Moderate,2025-08-09,0.98,0.07,True,27.0,2025-08-28
STU01363,SCH023,10,Female,Low,Laptop/Desktop,Moderate,2025-08-21,0.652,0.271,True,44.0,2025-09-14
STU01364,SCH079,12,Male,Middle,Own phone,Moderate,2025-08-08,0.851,0.121,False,,
STU01365,SCH011,10,Male,Middle,Shared phone,Good,2025-08-10,0.836,0.175,True,52.0,2025-09-22
STU01366,SCH094,9,Male,Middle,Laptop/Desktop,Poor,2025-08-17,0.779,0.152,False,,
STU01367,SCH048,9,Female,Low,Shared phone,Good,2025-08-17,0.871,0.184,True,54.0,2025-09-24
STU01368,SCH053,8,Male,Middle,Shared phone,Moderate,2025-08-15,0.734,0.193,False,,
STU01369,SCH095,9,Female,Middle,Shared phone,Good,2025-08-01,0.704,0.205,False,,
STU01370,SCH006,12,Male,Low,Own phone,Good,2025-08-19,0.723,0.236,True,69.0,2025-10-09
STU01371,SCH064,11,Female,Middle,Tablet,Good,2025-08-06,0.904,0.089,True,30.0,2025-08-31
STU01372,SCH034,8,Non-binary,Middle,Laptop/Desktop,Good,2025-08-11,0.98,0.066,False,,
STU01373,SCH021,8,Male,Low,Own phone,Moderate,2025-08-16,0.618,0.232,True,37.0,2025-09-07
STU01374,SCH004,11,Female,High,Laptop/Desktop,Moderate,2025-08-07,0.858,0.135,False,,
STU01375,SCH089,6,Female,Low,Own phone,Moderate,2025-08-15,0.612,0.245,False,,
STU01376,SCH020,11,Female,Middle,Own phone,Moderate,2025-08-11,0.905,0.101,True,57.0,2025-09-27
STU01377,SCH055,7,Male,Middle,Shared phone,Moderate,2025-08-04,0.564,0.303,True,54.0,2025-09-24
